Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Kohl's,1444444,03/10/2021,West,Arizona,Phoenix,Men's Apparel,39.0,718,28002.0,9660.69,34.5,In-Store
Sports Direct,1333333,03/10/2021,Southeast,Georgia,Savannah,Men's Athletic Footwear,127.37,524,66741.88,28932.6,43.35,Online
Finish Line,1666666,03/10/2021,Midwest,Ohio,Columbus,Men's Apparel,78.88,427,33681.76,10343.67,30.71,In-Store
Foot Locker,1000000,03/10/2021,Midwest,Wisconsin,Madison,Men's Street Footwear,98.2,379,37217.8,14012.5,37.65,Online
Foot Locker,1000000,03/10/2021,Southeast,Virginia,Virginia Beach,Women's Athletic Footwear,89.86,576,51759.36,25320.68,48.92,In-Store
Sports Direct,1333333,03/10/2021,Midwest,Michigan,Grand Rapids,Women's Athletic Footwear,113.47,386,43799.42,19990.06,45.64,Outlet
Finish Line,1666666,03/10/2021,Northeast,Connecticut,New Haven,Men's Athletic Footwear,132.87,477,63378.99,18532.02,29.24,Online
Finish Line,1666666,03/10/2021,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,100.32,64,6420.48,2669.64,41.58,Online
Finish Line,1666666,03/10/2021,South,Louisiana,Baton Rouge,Men's Apparel,83.92,180,15105.6,4308.12,28.52,Online
Sports Direct,1333333,03/10/2021,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,107.44,85,9132.4,4250.22,46.54,Outlet
Amazon,1111111,03/10/2021,Northeast,Massachusetts,Boston,Men's Athletic Footwear,130.22,494,64328.68,18500.93,28.76,In-Store
Walmart,1222222,03/10/2021,Southeast,Virginia,Virginia Beach,Women's Apparel,75.72,329,24911.88,8622.0,34.61,In-Store
Kohl's,1444444,03/10/2021,South,Arkansas,Fayetteville,Men's Street Footwear,103.07,75,7730.25,2193.84,28.38,Online
Foot Locker,1000000,03/11/2020,Southeast,Georgia,Savannah,Men's Athletic Footwear,121.62,603,73336.86,21854.38,29.8,In-Store
Finish Line,1666666,03/11/2020,Northeast,Massachusetts,Boston,Women's Street Footwear,70.8,381,26974.8,11324.02,41.98,Outlet
Walmart,1222222,03/11/2020,Midwest,Michigan,Grand Rapids,Men's Street Footwear,70.48,218,15364.64,5288.51,34.42,Online
West Gear,1555555,03/11/2020,West,Arizona,Tucson,Women's Street Footwear,71.1,726,51618.6,16693.46,32.34,Outlet
West Gear,1555555,03/11/2020,Northeast,Connecticut,New Haven,Men's Apparel,67.25,261,17552.25,6952.45,39.61,In-Store
Walmart,1222222,03/11/2020,South,Texas,Houston,Men's Apparel,35.46,389,13793.94,5701.04,41.33,Online
Amazon,1111111,03/11/2020,West,Arizona,Phoenix,Men's Athletic Footwear,111.75,647,72302.25,35739.0,49.43,In-Store
Sports Direct,1333333,03/11/2020,Northeast,Connecticut,Hartford,Women's Street Footwear,78.42,559,43836.78,18008.15,41.08,Online
Sports Direct,1333333,03/11/2020,Northeast,Connecticut,Hartford,Men's Athletic Footwear,103.98,407,42319.86,13749.72,32.49,In-Store
Sports Direct,1333333,03/11/2020,West,California,Los Angeles,Women's Apparel,59.69,155,9251.95,3078.12,33.27,In-Store
Foot Locker,1000000,03/11/2020,Midwest,Wisconsin,Madison,Women's Street Footwear,92.21,657,60581.97,29188.39,48.18,In-Store
Amazon,1111111,03/11/2020,Midwest,Michigan,Detroit,Women's Athletic Footwear,137.07,319,43725.33,14674.22,33.56,Outlet
Finish Line,1666666,03/11/2021,West,Nevada,Las Vegas,Men's Street Footwear,122.61,463,56768.43,19113.93,33.67,In-Store
Kohl's,1444444,03/11/2021,Southeast,Virginia,Virginia Beach,Women's Street Footwear,77.42,426,32980.92,13621.12,41.3,In-Store
Finish Line,1666666,03/11/2021,Southeast,Virginia,Richmond,Women's Street Footwear,87.48,627,54849.96,25077.4,45.72,In-Store
West Gear,1555555,03/11/2021,West,Washington,Seattle,Women's Street Footwear,117.84,621,73178.64,29571.49,40.41,Online
Foot Locker,1000000,03/11/2021,West,California,Los Angeles,Women's Apparel,51.44,534,27468.96,9759.72,35.53,Online
Amazon,1111111,03/11/2021,Southeast,Georgia,Atlanta,Women's Apparel,45.73,624,28535.52,13871.12,48.61,Outlet
Kohl's,1444444,03/11/2021,West,California,San Diego,Women's Street Footwear,107.84,331,35695.04,15331.02,42.95,Outlet
Sports Direct,1333333,03/11/2021,West,Arizona,Tucson,Women's Apparel,80.65,784,63229.6,21143.98,33.44,Online
Amazon,1111111,03/11/2021,Southeast,Georgia,Savannah,Women's Street Footwear,105.1,262,27536.2,13443.17,48.82,Online
Finish Line,1666666,03/11/2021,South,Arkansas,Little Rock,Women's Apparel,62.96,403,25372.88,7246.49,28.56,Outlet
Amazon,1111111,03/11/2021,West,Washington,Spokane,Men's Apparel,50.03,295,14758.85,4399.61,29.81,In-Store
Foot Locker,1000000,03/11/2021,West,Arizona,Phoenix,Women's Street Footwear,108.0,346,37368.0,11812.02,31.61,Online
Foot Locker,1000000,03/11/2021,West,Oregon,Portland,Men's Apparel,78.53,452,35495.56,16508.98,46.51,In-Store
Sports Direct,1333333,03/11/2021,Northeast,Connecticut,Hartford,Men's Apparel,82.25,522,42934.5,20127.69,46.88,In-Store
Foot Locker,1000000,03/11/2021,Midwest,Michigan,Grand Rapids,Women's Street Footwear,78.31,617,48317.27,22341.91,46.24,Online
Kohl's,1444444,03/11/2021,Midwest,Indiana,Fort Wayne,Women's Athletic Footwear,112.37,672,75512.64,33618.23,44.52,Online
West Gear,1555555,03/12/2020,Midwest,Michigan,Grand Rapids,Men's Athletic Footwear,148.68,512,76124.16,26864.22,35.29,In-Store
Amazon,1111111,03/12/2020,Midwest,Illinois,Chicago,Women's Apparel,69.63,221,15388.23,5108.89,33.2,In-Store
Amazon,1111111,03/12/2020,West,Washington,Spokane,Men's Street Footwear,95.68,70,6697.6,2137.2,31.91,Online
West Gear,1555555,03/12/2020,Southeast,Georgia,Atlanta,Women's Apparel,43.15,224,9665.6,3995.76,41.34,In-Store
Kohl's,1444444,03/12/2020,West,Oregon,Eugene,Women's Athletic Footwear,102.39,128,13105.92,5399.64,41.2,In-Store
Finish Line,1666666,03/12/2020,Southeast,Florida,Miami,Men's Apparel,61.06,243,14837.58,4856.34,32.73,In-Store
West Gear,1555555,03/12/2020,Northeast,New Jersey,Newark,Men's Apparel,55.79,432,24101.28,7177.36,29.78,In-Store
Kohl's,1444444,03/12/2020,Southeast,Virginia,Richmond,Women's Apparel,68.78,629,43262.62,15708.66,36.31,In-Store
Kohl's,1444444,03/12/2020,West,California,San Francisco,Men's Apparel,62.05,660,40953.0,16295.2,39.79,Online
Amazon,1111111,03/12/2020,West,Nevada,Las Vegas,Men's Athletic Footwear,102.7,387,39744.9,18119.7,45.59,In-Store
Foot Locker,1000000,03/12/2020,West,California,Los Angeles,Women's Apparel,50.86,773,39314.78,17821.39,45.33,Outlet
Amazon,1111111,03/12/2020,West,Nevada,Las Vegas,Men's Athletic Footwear,108.69,351,38150.19,15649.21,41.02,Online
West Gear,1555555,03/12/2020,Southeast,Florida,Tampa,Men's Athletic Footwear,101.43,606,61466.58,23965.82,38.99,In-Store
West Gear,1555555,03/12/2021,Northeast,Connecticut,New Haven,Men's Street Footwear,86.15,306,26361.9,12851.43,48.75,In-Store
Sports Direct,1333333,03/12/2021,Northeast,New Jersey,Newark,Men's Street Footwear,89.29,495,44198.55,18302.62,41.41,Online
Foot Locker,1000000,03/12/2021,Northeast,Massachusetts,Boston,Men's Athletic Footwear,139.26,693,96507.18,45368.03,47.01,In-Store
Sports Direct,1333333,03/12/2021,Southeast,Florida,Miami,Women's Street Footwear,69.9,423,29567.7,14538.44,49.17,In-Store
Finish Line,1666666,03/12/2021,Midwest,Illinois,Springfield,Men's Athletic Footwear,147.3,297,43748.1,15215.59,34.78,In-Store
Foot Locker,1000000,03/12/2021,Southeast,Tennessee,Nashville,Men's Street Footwear,122.59,213,26111.67,7825.67,29.97,Online
Kohl's,1444444,03/12/2021,South,Oklahoma,Tulsa,Women's Apparel,61.15,369,22564.35,6629.41,29.38,Outlet
Walmart,1222222,03/12/2021,Midwest,Illinois,Springfield,Women's Athletic Footwear,123.52,646,79793.92,23220.03,29.1,In-Store
West Gear,1555555,03/12/2021,Southeast,Tennessee,Nashville,Men's Apparel,48.54,396,19221.84,9453.3,49.18,Online
Sports Direct,1333333,03/12/2021,Southeast,North Carolina,Raleigh,Women's Athletic Footwear,105.83,451,47729.33,20251.55,42.43,Outlet
Finish Line,1666666,03/12/2021,West,Arizona,Tucson,Women's Street Footwear,118.82,536,63687.52,27436.58,43.08,Outlet
Amazon,1111111,03/12/2021,Northeast,New Jersey,Jersey City,Men's Apparel,41.25,376,15510.0,6678.61,43.06,Online
Amazon,1111111,03/13/2020,West,Washington,Seattle,Men's Apparel,68.2,457,31167.4,10247.84,32.88,Online
Amazon,1111111,03/13/2020,Southeast,Tennessee,Memphis,Women's Apparel,49.49,704,34840.96,11163.04,32.04,Online
Foot Locker,1000000,03/13/2020,Midwest,Indiana,Indianapolis,Men's Street Footwear,124.52,122,15191.44,4599.97,30.28,Outlet
West Gear,1555555,03/13/2020,South,Oklahoma,Oklahoma City,Women's Street Footwear,91.46,470,42986.2,20139.03,46.85,Online
Kohl's,1444444,03/13/2020,Northeast,Massachusetts,Boston,Women's Street Footwear,86.42,334,28864.28,13860.63,48.02,Online
Kohl's,1444444,03/13/2020,Southeast,Tennessee,Memphis,Women's Street Footwear,77.45,297,23002.65,7728.89,33.6,Online
Amazon,1111111,03/13/2020,West,Washington,Seattle,Men's Apparel,43.46,656,28509.76,10756.73,37.73,Outlet
Sports Direct,1333333,03/13/2020,Midwest,Michigan,Detroit,Men's Athletic Footwear,84.94,408,34655.52,12278.45,35.43,In-Store
Finish Line,1666666,03/13/2020,West,Nevada,Reno,Men's Athletic Footwear,136.36,762,103906.32,35754.16,34.41,In-Store
Kohl's,1444444,03/13/2020,Midwest,Ohio,Columbus,Women's Athletic Footwear,106.92,53,5666.76,1862.1,32.86,Online
Sports Direct,1333333,03/13/2020,South,Oklahoma,Oklahoma City,Men's Street Footwear,87.19,323,28162.37,11867.62,42.14,In-Store
Kohl's,1444444,03/13/2020,South,Louisiana,Baton Rouge,Men's Athletic Footwear,89.75,118,10590.5,4166.3,39.34,Outlet
Walmart,1222222,03/13/2020,Northeast,Connecticut,Hartford,Men's Apparel,40.1,611,24501.1,9170.76,37.43,In-Store
West Gear,1555555,03/13/2020,West,California,San Francisco,Women's Athletic Footwear,99.83,728,72676.24,30378.67,41.8,In-Store
Finish Line,1666666,03/13/2020,Midwest,Ohio,Columbus,Women's Athletic Footwear,79.35,136,10791.6,5042.91,46.73,Outlet
Kohl's,1444444,03/13/2020,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,100.09,124,12411.16,5422.44,43.69,In-Store
Sports Direct,1333333,03/13/2021,South,Texas,Dallas,Women's Apparel,82.97,334,27711.98,10973.94,39.6,In-Store
Sports Direct,1333333,03/13/2021,Southeast,Florida,Orlando,Women's Street Footwear,102.41,464,47518.24,18484.6,38.9,In-Store
Kohl's,1444444,03/13/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,99.73,310,30916.3,11742.01,37.98,In-Store
Foot Locker,1000000,03/13/2021,Southeast,Georgia,Atlanta,Men's Apparel,43.98,90,3958.2,1210.42,30.58,Outlet
Finish Line,1666666,03/13/2021,South,Oklahoma,Oklahoma City,Women's Apparel,62.01,285,17672.85,5363.71,30.35,Online
Kohl's,1444444,03/13/2021,South,Oklahoma,Tulsa,Women's Athletic Footwear,123.03,597,73448.91,29805.57,40.58,In-Store
Finish Line,1666666,03/13/2021,West,Nevada,Reno,Men's Apparel,72.42,224,16222.08,5534.97,34.12,In-Store
West Gear,1555555,03/13/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,75.22,199,14968.78,5237.58,34.99,In-Store
Sports Direct,1333333,03/13/2021,Northeast,New York,Buffalo,Women's Street Footwear,108.08,139,15023.12,5839.49,38.87,Outlet
Kohl's,1444444,03/13/2021,South,Arkansas,Fayetteville,Women's Athletic Footwear,129.99,277,36007.23,10593.33,29.42,In-Store
Foot Locker,1000000,03/13/2021,West,Oregon,Portland,Men's Street Footwear,111.97,548,61359.56,19064.42,31.07,Online
Foot Locker,1000000,03/13/2021,Northeast,New Jersey,Newark,Men's Athletic Footwear,121.63,84,10216.92,3305.17,32.35,In-Store
Walmart,1222222,03/13/2021,Northeast,Connecticut,New Haven,Women's Street Footwear,116.81,590,68917.9,30840.76,44.75,In-Store
Finish Line,1666666,03/13/2021,West,Arizona,Tucson,Men's Athletic Footwear,91.86,751,68986.86,23103.7,33.49,In-Store
Finish Line,1666666,03/13/2021,West,Oregon,Portland,Women's Athletic Footwear,85.98,156,13412.88,5987.51,44.64,Outlet
West Gear,1555555,03/13/2021,Southeast,Virginia,Virginia Beach,Men's Athletic Footwear,138.99,639,88814.61,44336.25,49.92,In-Store
Finish Line,1666666,03/13/2021,South,Mississippi,Biloxi,Women's Street Footwear,111.63,57,6362.91,2618.34,41.15,Online
Sports Direct,1333333,03/14/2020,South,Louisiana,New Orleans,Women's Athletic Footwear,80.69,90,7262.1,2318.06,31.92,In-Store
Walmart,1222222,03/14/2020,Southeast,Georgia,Atlanta,Men's Street Footwear,109.11,691,75395.01,22950.24,30.44,Online
West Gear,1555555,03/14/2020,Northeast,Connecticut,Hartford,Men's Apparel,69.07,359,24796.13,7106.57,28.66,Online
Sports Direct,1333333,03/14/2020,West,Nevada,Las Vegas,Women's Athletic Footwear,126.0,721,90846.0,33413.16,36.78,In-Store
Amazon,1111111,03/14/2020,Southeast,North Carolina,Charlotte,Men's Apparel,68.38,392,26804.96,11627.99,43.38,Outlet
West Gear,1555555,03/14/2020,Northeast,Massachusetts,Boston,Women's Athletic Footwear,101.28,94,9520.32,3052.21,32.06,In-Store
Amazon,1111111,03/14/2020,South,Oklahoma,Tulsa,Women's Apparel,58.26,485,28256.1,10005.49,35.41,In-Store
Kohl's,1444444,03/14/2020,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,127.6,174,22202.4,6756.19,30.43,Outlet
Finish Line,1666666,03/14/2020,South,Arkansas,Little Rock,Women's Athletic Footwear,111.3,273,30384.9,13162.74,43.32,Outlet
Finish Line,1666666,03/14/2020,South,Mississippi,Biloxi,Women's Athletic Footwear,115.15,651,74962.65,22024.03,29.38,Online
Sports Direct,1333333,03/14/2020,South,Louisiana,Baton Rouge,Men's Athletic Footwear,86.42,274,23679.08,8176.39,34.53,Outlet
Amazon,1111111,03/14/2020,Northeast,Massachusetts,Boston,Men's Street Footwear,116.02,671,77849.42,31256.54,40.15,Outlet
Kohl's,1444444,03/14/2020,Midwest,Wisconsin,Madison,Men's Street Footwear,86.42,365,31543.3,11715.18,37.14,Outlet
Kohl's,1444444,03/14/2020,Midwest,Indiana,Fort Wayne,Women's Street Footwear,102.16,521,53225.36,21151.76,39.74,Online
Finish Line,1666666,03/14/2021,West,Oregon,Portland,Women's Apparel,68.5,589,40346.5,13790.43,34.18,Outlet
Foot Locker,1000000,03/14/2021,South,Mississippi,Jackson,Women's Apparel,54.83,177,9704.91,3519.97,36.27,In-Store
Amazon,1111111,03/14/2021,Northeast,Massachusetts,Boston,Men's Apparel,59.08,543,32080.44,13842.71,43.15,Outlet
Finish Line,1666666,03/14/2021,Northeast,Massachusetts,Worcester,Women's Street Footwear,80.37,200,16074.0,4989.37,31.04,Online
Kohl's,1444444,03/14/2021,West,California,Los Angeles,Men's Street Footwear,108.23,354,38313.42,15907.73,41.52,In-Store
Amazon,1111111,03/14/2021,West,Arizona,Phoenix,Men's Street Footwear,105.26,340,35788.4,12690.57,35.46,Online
Sports Direct,1333333,03/14/2021,West,Washington,Spokane,Women's Apparel,82.71,596,49295.16,20072.99,40.72,Online
Finish Line,1666666,03/14/2021,Southeast,Georgia,Atlanta,Women's Apparel,75.01,174,13051.74,5907.22,45.26,Online
Finish Line,1666666,03/14/2021,Southeast,Georgia,Savannah,Women's Apparel,60.38,133,8030.54,3436.27,42.79,Outlet
Foot Locker,1000000,03/14/2021,Northeast,Massachusetts,Worcester,Men's Street Footwear,81.41,341,27760.81,10729.55,38.65,Online
Finish Line,1666666,03/14/2021,West,Washington,Spokane,Men's Apparel,79.21,660,52278.6,18898.71,36.15,In-Store
Finish Line,1666666,03/14/2021,Southeast,North Carolina,Raleigh,Women's Apparel,66.85,646,43185.1,13262.14,30.71,Online
Foot Locker,1000000,03/14/2021,Northeast,New York,New York City,Women's Street Footwear,115.13,699,80475.87,23684.05,29.43,Outlet
Amazon,1111111,03/14/2021,West,California,San Diego,Men's Street Footwear,89.22,495,44163.9,16499.63,37.36,Online
Kohl's,1444444,03/14/2021,Northeast,Connecticut,New Haven,Women's Apparel,41.55,629,26134.95,8794.41,33.65,In-Store
Kohl's,1444444,03/14/2021,West,Nevada,Las Vegas,Men's Athletic Footwear,90.61,573,51919.53,18062.8,34.79,Online
West Gear,1555555,03/14/2021,West,Arizona,Tucson,Women's Apparel,64.82,520,33706.4,14328.59,42.51,In-Store
Walmart,1222222,03/15/2020,Northeast,Connecticut,Hartford,Women's Athletic Footwear,80.62,452,36440.24,13260.6,36.39,In-Store
Finish Line,1666666,03/15/2020,Northeast,Massachusetts,Boston,Men's Athletic Footwear,141.33,579,81830.07,27413.07,33.5,Outlet
Sports Direct,1333333,03/15/2020,West,Arizona,Tucson,Men's Athletic Footwear,131.76,487,64167.12,30524.3,47.57,Outlet
Finish Line,1666666,03/15/2020,Southeast,Georgia,Savannah,Women's Athletic Footwear,89.65,280,25102.0,9272.68,36.94,In-Store
Amazon,1111111,03/15/2020,Northeast,Massachusetts,Worcester,Men's Apparel,38.88,468,18195.84,8684.87,47.73,Online
Amazon,1111111,03/15/2020,Midwest,Wisconsin,Milwaukee,Men's Apparel,82.74,218,18037.32,6073.17,33.67,In-Store
Kohl's,1444444,03/15/2020,West,Washington,Seattle,Men's Apparel,70.61,383,27043.63,9016.35,33.34,Outlet
Walmart,1222222,03/15/2020,West,Washington,Spokane,Men's Athletic Footwear,115.15,434,49975.1,18170.95,36.36,Online
Finish Line,1666666,03/15/2020,South,Louisiana,Baton Rouge,Women's Athletic Footwear,82.31,341,28067.71,9245.5,32.94,Online
Foot Locker,1000000,03/15/2020,West,Oregon,Portland,Men's Athletic Footwear,112.05,562,62972.1,29584.29,46.98,Outlet
Finish Line,1666666,03/15/2020,Southeast,Georgia,Savannah,Men's Athletic Footwear,81.48,495,40332.6,18782.89,46.57,Online
West Gear,1555555,03/15/2020,Midwest,Indiana,Fort Wayne,Women's Street Footwear,85.68,294,25189.92,7808.88,31.0,Outlet
Sports Direct,1333333,03/15/2020,Southeast,North Carolina,Charlotte,Men's Apparel,74.15,666,49383.9,15417.65,31.22,Outlet
Sports Direct,1333333,03/15/2020,West,Washington,Spokane,Women's Street Footwear,119.0,497,59143.0,27536.98,46.56,In-Store
Walmart,1222222,03/15/2020,West,Nevada,Las Vegas,Men's Apparel,56.45,546,30821.7,10272.87,33.33,Online
Kohl's,1444444,03/15/2021,South,Mississippi,Jackson,Women's Athletic Footwear,92.38,202,18660.76,6346.52,34.01,Outlet
Finish Line,1666666,03/15/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,139.81,300,41943.0,19029.54,45.37,Online
West Gear,1555555,03/15/2021,West,California,San Diego,Men's Athletic Footwear,93.21,648,60400.08,25271.39,41.84,Online
West Gear,1555555,03/15/2021,West,Washington,Spokane,Men's Street Footwear,123.37,567,69950.79,23482.48,33.57,Online
Kohl's,1444444,03/15/2021,West,California,San Diego,Men's Athletic Footwear,140.17,643,90129.31,26101.45,28.96,In-Store
Amazon,1111111,03/15/2021,Northeast,New York,New York City,Men's Apparel,59.74,629,37576.46,16063.94,42.75,Online
Foot Locker,1000000,03/15/2021,West,California,San Diego,Women's Street Footwear,90.28,286,25820.08,9798.72,37.95,In-Store
Kohl's,1444444,03/15/2021,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,108.63,606,65829.78,23303.74,35.4,Online
Sports Direct,1333333,03/15/2021,Midwest,Wisconsin,Madison,Men's Athletic Footwear,115.95,662,76758.9,23173.51,30.19,In-Store
Kohl's,1444444,03/15/2021,South,Oklahoma,Oklahoma City,Men's Apparel,70.57,691,48763.87,20197.99,41.42,Online
Foot Locker,1000000,03/15/2021,Southeast,Tennessee,Nashville,Men's Athletic Footwear,100.32,392,39325.44,15745.91,40.04,Online
Walmart,1222222,03/15/2021,Midwest,Ohio,Columbus,Women's Apparel,62.43,151,9426.93,3176.88,33.7,Online
Sports Direct,1333333,03/15/2021,Southeast,North Carolina,Raleigh,Men's Apparel,80.1,172,13777.2,3903.08,28.33,Online
Sports Direct,1333333,03/15/2021,West,Oregon,Eugene,Women's Apparel,83.42,503,41960.26,14308.45,34.1,Online
Foot Locker,1000000,03/15/2021,West,Washington,Spokane,Men's Athletic Footwear,96.34,144,13872.96,5167.68,37.25,Online
West Gear,1555555,03/15/2021,Northeast,New York,New York City,Women's Apparel,66.59,560,37290.4,15072.78,40.42,Online
Amazon,1111111,03/16/2020,Southeast,Tennessee,Memphis,Men's Apparel,78.96,377,29767.92,10201.47,34.27,Outlet
Walmart,1222222,03/16/2020,West,Washington,Spokane,Women's Street Footwear,79.03,86,6796.58,2942.92,43.3,In-Store
Finish Line,1666666,03/16/2020,West,California,San Diego,Women's Athletic Footwear,117.98,657,77512.86,32617.41,42.08,In-Store
West Gear,1555555,03/16/2020,South,Mississippi,Biloxi,Women's Apparel,61.06,472,28820.32,13168.0,45.69,Online
Sports Direct,1333333,03/16/2020,Southeast,Florida,Orlando,Men's Athletic Footwear,146.99,254,37335.46,12981.54,34.77,Online
Finish Line,1666666,03/16/2020,Southeast,Georgia,Atlanta,Women's Athletic Footwear,113.23,617,69862.91,32702.83,46.81,Outlet
West Gear,1555555,03/16/2020,Northeast,Massachusetts,Worcester,Women's Athletic Footwear,126.39,179,22623.81,10232.75,45.23,Outlet
West Gear,1555555,03/16/2020,Southeast,North Carolina,Charlotte,Men's Apparel,46.1,492,22681.2,10551.29,46.52,In-Store
Walmart,1222222,03/16/2020,West,California,San Diego,Women's Street Footwear,67.89,553,37543.17,15479.05,41.23,Outlet
West Gear,1555555,03/16/2020,Northeast,New York,New York City,Women's Apparel,42.98,663,28495.74,8041.5,28.22,In-Store
Finish Line,1666666,03/16/2020,West,Nevada,Las Vegas,Men's Apparel,49.73,310,15416.3,6743.09,43.74,Outlet
Walmart,1222222,03/16/2021,Midwest,Ohio,Columbus,Men's Street Footwear,126.92,146,18530.32,5938.97,32.05,Online
West Gear,1555555,03/16/2021,West,Nevada,Las Vegas,Women's Athletic Footwear,113.23,415,46990.45,20375.06,43.36,In-Store
Kohl's,1444444,03/16/2021,Northeast,Pennsylvania,Pittsburgh,Men's Street Footwear,120.85,439,53053.15,23762.51,44.79,Online
Finish Line,1666666,03/16/2021,Northeast,Connecticut,New Haven,Men's Athletic Footwear,118.79,636,75550.44,23957.04,31.71,In-Store
Sports Direct,1333333,03/16/2021,Midwest,Wisconsin,Madison,Men's Athletic Footwear,111.77,74,8270.98,3346.44,40.46,Online
Walmart,1222222,03/16/2021,Southeast,Georgia,Savannah,Men's Street Footwear,118.66,685,81282.1,23856.3,29.35,Online
Finish Line,1666666,03/16/2021,Southeast,Tennessee,Nashville,Men's Street Footwear,112.23,615,69021.45,20961.81,30.37,Outlet
West Gear,1555555,03/16/2021,West,Oregon,Portland,Men's Athletic Footwear,86.1,526,45288.6,21752.11,48.03,Outlet
Finish Line,1666666,03/16/2021,West,Nevada,Las Vegas,Women's Athletic Footwear,135.96,120,16315.2,7777.46,47.67,Online
Amazon,1111111,03/16/2021,Northeast,Pennsylvania,Pittsburgh,Women's Apparel,68.61,367,25179.87,8523.39,33.85,Online
West Gear,1555555,03/16/2021,West,Oregon,Portland,Men's Athletic Footwear,145.33,475,69031.75,29366.11,42.54,Online
Finish Line,1666666,03/16/2021,West,Oregon,Eugene,Men's Athletic Footwear,131.36,653,85778.08,39183.43,45.68,Online
Walmart,1222222,03/16/2021,West,California,San Francisco,Women's Apparel,52.05,674,35081.7,15892.01,45.3,Online
West Gear,1555555,03/16/2021,Northeast,New Jersey,Jersey City,Men's Athletic Footwear,97.05,101,9802.05,3040.6,31.02,In-Store
Foot Locker,1000000,03/16/2021,West,California,Los Angeles,Men's Apparel,80.76,470,37957.2,12594.2,33.18,Online
Walmart,1222222,03/16/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,81.3,489,39755.7,17766.82,44.69,Outlet
Walmart,1222222,03/16/2021,South,Texas,Austin,Men's Athletic Footwear,119.36,203,24230.08,8228.54,33.96,In-Store
West Gear,1555555,03/17/2020,West,Nevada,Reno,Men's Athletic Footwear,82.28,341,28057.48,12219.03,43.55,Online
Sports Direct,1333333,03/17/2020,Midwest,Illinois,Chicago,Women's Apparel,51.57,661,34087.77,10676.29,31.32,Outlet
West Gear,1555555,03/17/2020,West,California,Los Angeles,Women's Street Footwear,70.06,385,26973.1,8280.74,30.7,Outlet
West Gear,1555555,03/17/2020,South,Texas,Dallas,Women's Apparel,88.86,276,24525.36,9371.14,38.21,Online
Sports Direct,1333333,03/17/2020,West,Oregon,Portland,Men's Street Footwear,103.4,181,18715.4,5902.84,31.54,Online
Sports Direct,1333333,03/17/2020,Northeast,New York,Buffalo,Women's Athletic Footwear,92.46,113,10447.98,2955.73,28.29,In-Store
Sports Direct,1333333,03/17/2020,Southeast,Virginia,Virginia Beach,Men's Street Footwear,100.19,143,14327.17,5121.96,35.75,Online
Walmart,1222222,03/17/2020,West,Arizona,Tucson,Women's Street Footwear,68.11,429,29219.19,14407.98,49.31,Online
Walmart,1222222,03/17/2020,Southeast,Virginia,Virginia Beach,Women's Street Footwear,96.75,375,36281.25,15234.5,41.99,Outlet
Amazon,1111111,03/17/2020,South,Oklahoma,Tulsa,Women's Apparel,83.58,277,23151.66,6693.14,28.91,In-Store
Sports Direct,1333333,03/17/2020,Northeast,Pennsylvania,Philadelphia,Men's Apparel,79.3,509,40363.7,13477.44,33.39,In-Store
Walmart,1222222,03/17/2020,Midwest,Wisconsin,Madison,Women's Athletic Footwear,111.34,258,28725.72,11458.69,39.89,Online
Foot Locker,1000000,03/17/2020,Southeast,Florida,Miami,Men's Apparel,38.87,51,1982.37,755.68,38.12,In-Store
Walmart,1222222,03/17/2020,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,91.19,208,18967.52,5678.88,29.94,Online
Walmart,1222222,03/17/2020,Northeast,New Jersey,Jersey City,Women's Athletic Footwear,132.05,587,77513.35,29997.67,38.7,In-Store
West Gear,1555555,03/17/2020,South,Arkansas,Fayetteville,Women's Apparel,72.09,199,14345.91,4328.16,30.17,Outlet
West Gear,1555555,03/17/2020,West,Arizona,Tucson,Women's Apparel,84.69,635,53778.15,17241.27,32.06,Outlet
Sports Direct,1333333,03/17/2020,Midwest,Indiana,Fort Wayne,Men's Athletic Footwear,139.88,654,91481.52,41404.54,45.26,In-Store
Amazon,1111111,03/17/2020,Northeast,Massachusetts,Worcester,Women's Apparel,60.36,435,26256.6,10127.17,38.57,In-Store
Finish Line,1666666,03/17/2020,Midwest,Indiana,Indianapolis,Men's Street Footwear,78.82,586,46188.52,18678.64,40.44,Online
West Gear,1555555,03/17/2020,Midwest,Illinois,Chicago,Women's Street Footwear,71.9,69,4961.1,1717.53,34.62,In-Store
West Gear,1555555,03/17/2021,West,Washington,Seattle,Women's Apparel,49.1,160,7856.0,2978.21,37.91,In-Store
Amazon,1111111,03/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,90.34,520,46976.8,21877.1,46.57,In-Store
